company,role,question,category
Microsoft,Software Engineer,Explain Object Oriented Programming concepts,technical
Microsoft,Software Engineer,What is polymorphism in OOP,technical
Microsoft,Software Engineer,Reverse a linked list,coding
Microsoft,Software Engineer,Explain REST API,technical
Microsoft,Software Engineer,Difference between process and thread,technical
Microsoft,Software Engineer,Explain database normalization,technical
Microsoft,Software Engineer,What is deadlock in operating systems,technical
Microsoft,Software Engineer,Explain time complexity with example,technical
Microsoft,Software Engineer,What is SQL vs NoSQL,technical
Microsoft,Software Engineer,Explain microservices architecture,technical
Amazon,SDE,Explain Amazon leadership principles,hr
Amazon,SDE,What is system design,technical
Amazon,SDE,Find duplicate numbers in array,coding
Amazon,SDE,Explain hashing in data structures,technical
Amazon,SDE,What is load balancing,technical
Amazon,SDE,Explain CAP theorem,technical
Amazon,SDE,Explain microservices vs monolith,technical
Amazon,SDE,What is caching,technical
Amazon,SDE,Explain database indexing,technical
Amazon,SDE,Difference between GET and POST,technical
TCS,Fresher,What is SDLC,technical
TCS,Fresher,Difference between C and C++,technical
TCS,Fresher,Explain OOP concepts,technical
TCS,Fresher,What is a pointer,technical
TCS,Fresher,What is DBMS,technical
TCS,Fresher,Difference between array and linked list,technical
TCS,Fresher,What is normalization in database,technical
TCS,Fresher,Explain operating system,technical
TCS,Fresher,Explain inheritance in OOP,technical
TCS,Fresher,What is cloud computing,technical
Infosys,Fresher,What is data structure,technical
Infosys,Fresher,Explain stack and queue,technical
Infosys,Fresher,What is recursion,technical
Infosys,Fresher,Explain polymorphism,technical
Infosys,Fresher,What is database indexing,technical
Infosys,Fresher,Explain ACID properties,technical
Infosys,Fresher,Explain operating system scheduling,technical
Infosys,Fresher,What is API,technical
Infosys,Fresher,What is primary key in database,technical
Infosys,Fresher,Explain difference between abstract class and interface,technical
